12/14/14-20:07:05	---INITIALIZING POD SYSTEM---

12/14/14-20:07:07	id: 2
12/14/14-20:07:07	run: False
12/14/14-20:07:07	loc: Station_1
12/14/14-20:07:07	spd: 0
12/14/14-20:07:07	prx: 0

12/14/14-20:07:10	id: 2
12/14/14-20:07:10	run: False
12/14/14-20:07:10	loc: Station_1
12/14/14-20:07:10	spd: 0
12/14/14-20:07:10	prx: 0

12/14/14-20:07:13	id: 2
12/14/14-20:07:13	run: False
12/14/14-20:07:13	loc: Station_1
12/14/14-20:07:13	spd: 0
12/14/14-20:07:13	prx: 0

12/14/14-20:07:24	id: 2
12/14/14-20:07:24	run: False
12/14/14-20:07:24	loc: Station_1
12/14/14-20:07:24	spd: 0
12/14/14-20:07:24	prx: 0

12/14/14-20:07:27	id: 2
12/14/14-20:07:27	run: False
12/14/14-20:07:27	loc: Station_1
12/14/14-20:07:27	spd: 0
12/14/14-20:07:27	prx: 0

12/14/14-20:07:30	id: 2
12/14/14-20:07:30	run: False
12/14/14-20:07:30	loc: Station_1
12/14/14-20:07:30	spd: 0
12/14/14-20:07:30	prx: 0

12/14/14-20:07:33	id: 2
12/14/14-20:07:33	run: False
12/14/14-20:07:33	loc: Station_1
12/14/14-20:07:33	spd: 0
12/14/14-20:07:33	prx: 0

12/14/14-20:07:36	id: 2
12/14/14-20:07:36	run: False
12/14/14-20:07:36	loc: Station_1
12/14/14-20:07:36	spd: 0
12/14/14-20:07:36	prx: 0

12/14/14-20:07:39	id: 2
12/14/14-20:07:39	run: False
12/14/14-20:07:39	loc: Station_1
12/14/14-20:07:39	spd: 0
12/14/14-20:07:39	prx: 0

12/14/14-20:07:42	id: 2
12/14/14-20:07:42	run: False
12/14/14-20:07:42	loc: Station_1
12/14/14-20:07:42	spd: 0
12/14/14-20:07:42	prx: 0

12/14/14-20:07:45	id: 2
12/14/14-20:07:45	run: False
12/14/14-20:07:45	loc: Station_1
12/14/14-20:07:45	spd: 0
12/14/14-20:07:45	prx: 0

12/14/14-20:07:48	id: 2
12/14/14-20:07:48	run: False
12/14/14-20:07:48	loc: Station_1
12/14/14-20:07:48	spd: 0
12/14/14-20:07:48	prx: 0

12/14/14-20:07:51	id: 2
12/14/14-20:07:51	run: False
12/14/14-20:07:51	loc: Station_1
12/14/14-20:07:51	spd: 0
12/14/14-20:07:51	prx: 0

12/14/14-20:07:54	id: 2
12/14/14-20:07:54	run: False
12/14/14-20:07:54	loc: Station_1
12/14/14-20:07:54	spd: 0
12/14/14-20:07:54	prx: 0

12/14/14-20:07:57	id: 2
12/14/14-20:07:57	run: False
12/14/14-20:07:57	loc: Station_1
12/14/14-20:07:57	spd: 0
12/14/14-20:07:57	prx: 0

12/14/14-20:08:00	id: 2
12/14/14-20:08:00	run: False
12/14/14-20:08:00	loc: Station_1
12/14/14-20:08:00	spd: 0
12/14/14-20:08:00	prx: 0

12/14/14-20:08:03	id: 2
12/14/14-20:08:03	run: False
12/14/14-20:08:03	loc: Station_1
12/14/14-20:08:03	spd: 0
12/14/14-20:08:03	prx: 0

12/14/14-20:08:06	id: 2
12/14/14-20:08:06	run: False
12/14/14-20:08:06	loc: Station_1
12/14/14-20:08:06	spd: 0
12/14/14-20:08:06	prx: 0

12/14/14-20:08:09	id: 2
12/14/14-20:08:09	run: False
12/14/14-20:08:09	loc: Station_1
12/14/14-20:08:09	spd: 0
12/14/14-20:08:09	prx: 0

12/14/14-20:08:12	id: 2
12/14/14-20:08:12	run: False
12/14/14-20:08:12	loc: Station_1
12/14/14-20:08:12	spd: 0
12/14/14-20:08:12	prx: 0

12/14/14-20:08:15	id: 2
12/14/14-20:08:15	run: False
12/14/14-20:08:15	loc: Station_1
12/14/14-20:08:15	spd: 0
12/14/14-20:08:15	prx: 0

12/14/14-20:08:18	id: 2
12/14/14-20:08:18	run: False
12/14/14-20:08:18	loc: Station_1
12/14/14-20:08:18	spd: 0
12/14/14-20:08:18	prx: 0

12/14/14-20:08:21	id: 2
12/14/14-20:08:21	run: False
12/14/14-20:08:21	loc: Station_1
12/14/14-20:08:21	spd: 0
12/14/14-20:08:21	prx: 0

12/14/14-20:08:24	id: 2
12/14/14-20:08:24	run: False
12/14/14-20:08:24	loc: Station_1
12/14/14-20:08:24	spd: 0
12/14/14-20:08:24	prx: 0

12/14/14-20:08:27	id: 2
12/14/14-20:08:27	run: False
12/14/14-20:08:27	loc: Station_1
12/14/14-20:08:27	spd: 0
12/14/14-20:08:27	prx: 0

12/14/14-20:08:30	id: 2
12/14/14-20:08:30	run: False
12/14/14-20:08:30	loc: Station_1
12/14/14-20:08:30	spd: 0
12/14/14-20:08:30	prx: 0

12/14/14-20:08:33	id: 2
12/14/14-20:08:33	run: False
12/14/14-20:08:33	loc: Station_1
12/14/14-20:08:33	spd: 0
12/14/14-20:08:33	prx: 0

12/14/14-20:08:36	id: 2
12/14/14-20:08:36	run: False
12/14/14-20:08:36	loc: Station_1
12/14/14-20:08:36	spd: 0
12/14/14-20:08:36	prx: 0

12/14/14-20:08:39	id: 2
12/14/14-20:08:39	run: False
12/14/14-20:08:39	loc: Station_1
12/14/14-20:08:39	spd: 0
12/14/14-20:08:39	prx: 0

12/14/14-20:08:42	id: 2
12/14/14-20:08:42	run: False
12/14/14-20:08:42	loc: Station_1
12/14/14-20:08:42	spd: 0
12/14/14-20:08:42	prx: 0

12/14/14-20:08:46	id: 2
12/14/14-20:08:46	run: False
12/14/14-20:08:46	loc: Station_1
12/14/14-20:08:46	spd: 0
12/14/14-20:08:46	prx: 0

12/14/14-20:08:49	id: 2
12/14/14-20:08:49	run: False
12/14/14-20:08:49	loc: Station_1
12/14/14-20:08:49	spd: 0
12/14/14-20:08:49	prx: 0

12/14/14-20:08:52	id: 2
12/14/14-20:08:52	run: False
12/14/14-20:08:52	loc: Station_1
12/14/14-20:08:52	spd: 0
12/14/14-20:08:52	prx: 0

12/14/14-20:08:55	id: 2
12/14/14-20:08:55	run: False
12/14/14-20:08:55	loc: Station_1
12/14/14-20:08:55	spd: 0
12/14/14-20:08:55	prx: 0

12/14/14-20:08:58	id: 2
12/14/14-20:08:58	run: False
12/14/14-20:08:58	loc: Station_1
12/14/14-20:08:58	spd: 0
12/14/14-20:08:58	prx: 0

12/14/14-20:09:01	id: 2
