12/16/14-10:52:46	---INITIALIZING POD SYSTEM---
12/16/14-10:55:57	spd: 0
12/16/14-10:55:57	prx: 0

12/16/14-10:56:02	id: 1
12/16/14-10:56:02	run: False
12/16/14-10:56:02	loc: station_1
12/16/14-10:56:02	spd: 0
12/16/14-10:56:02	prx: 0

12/16/14-10:56:07	id: 1
12/16/14-10:56:07	run: False
12/16/14-10:56:07	loc: station_1
12/16/14-10:56:07	spd: 0
12/16/14-10:56:07	prx: 0

12/16/14-10:56:12	id: 1
12/16/14-10:56:12	run: False
12/16/14-10:56:12	loc: station_1
12/16/14-10:56:12	spd: 0
12/16/14-10:56:12	prx: 0

12/16/14-10:56:17	id: 1
12/16/14-10:56:17	run: False
12/16/14-10:56:17	loc: station_1
12/16/14-10:56:17	spd: 0
12/16/14-10:56:17	prx: 0

12/16/14-10:56:22	id: 1
12/16/14-10:56:22	run: False
12/16/14-10:56:22	loc: station_1
12/16/14-10:56:22	spd: 0
12/16/14-10:56:22	prx: 0

12/16/14-10:56:27	id: 1
12/16/14-10:56:27	run: False
12/16/14-10:56:27	loc: station_1
12/16/14-10:56:27	spd: 0
12/16/14-10:56:27	prx: 0

12/16/14-10:56:32	id: 1
12/16/14-10:56:32	run: False
12/16/14-10:56:32	loc: station_1
12/16/14-10:56:32	spd: 0
12/16/14-10:56:32	prx: 0

12/16/14-10:56:37	id: 1
12/16/14-10:56:37	run: False
12/16/14-10:56:37	loc: station_1
12/16/14-10:56:37	spd: 0
12/16/14-10:56:37	prx: 0

12/16/14-10:56:42	id: 1
12/16/14-10:56:42	run: False
12/16/14-10:56:42	loc: station_1
12/16/14-10:56:42	spd: 0
12/16/14-10:56:42	prx: 0

12/16/14-10:56:47	id: 1
12/16/14-10:56:47	run: False
12/16/14-10:56:47	loc: station_1
12/16/14-10:56:47	spd: 0
12/16/14-10:56:47	prx: 0

12/16/14-10:56:52	id: 1
12/16/14-10:56:52	run: False
12/16/14-10:56:52	loc: station_1
12/16/14-10:56:52	spd: 0
12/16/14-10:56:52	prx: 0

12/16/14-10:56:57	id: 1
12/16/14-10:56:57	run: False
12/16/14-10:56:57	loc: station_1
12/16/14-10:56:57	spd: 0
12/16/14-10:56:57	prx: 0

12/16/14-10:57:02	id: 1
12/16/14-10:57:02	run: False
12/16/14-10:57:02	loc: station_1
12/16/14-10:57:02	spd: 0
12/16/14-10:57:02	prx: 0

12/16/14-10:57:07	id: 1
12/16/14-10:57:07	run: False
12/16/14-10:57:07	loc: station_1
12/16/14-10:57:07	spd: 0
12/16/14-10:57:07	prx: 0

12/16/14-10:57:12	id: 1
12/16/14-10:57:12	run: False
12/16/14-10:57:12	loc: station_1
12/16/14-10:57:12	spd: 0
12/16/14-10:57:12	prx: 0

12/16/14-10:57:17	id: 1
12/16/14-10:57:17	run: False
12/16/14-10:57:17	loc: station_1
12/16/14-10:57:17	spd: 0
12/16/14-10:57:17	prx: 0

12/16/14-10:57:22	id: 1
12/16/14-10:57:22	run: False
12/16/14-10:57:22	loc: station_1
12/16/14-10:57:22	spd: 0
12/16/14-10:57:22	prx: 0

12/16/14-10:57:24	id: 1
12/16/14-10:57:24	run: False
12/16/14-10:57:24	loc: station_1
12/16/14-10:57:24	spd: 0
12/16/14-10:57:24	prx: 0

12/16/14-10:57:26	id: 1
12/16/14-10:57:26	run: False
12/16/14-10:57:26	loc: station_1
12/16/14-10:57:26	spd: 0
12/16/14-10:57:26	prx: 0
